title,genre
"Avatar","Action"
"Avatar","Adventure"
"Avatar","Fantasy"
"Avatar","Science Fiction"
"Spectre","Action"
"Spectre","Adventure"
"Spectre","Crime"
"Tangled","Animation"
"Tangled","Family"
"Titanic","Drama"
"Titanic","Romance"
"Titanic","Thriller"
"Battleship","Thriller"
"Battleship","Action"
"Battleship","Adventure"
"Battleship","Science Fiction"
"Skyfall","Action"
"Skyfall","Adventure"
"Skyfall","Thriller"
"Brave","Animation"
"Brave","Adventure"
"Brave","Comedy"
"Brave","Family"
"Brave","Action"
"Brave","Fantasy"
"2012","Action"
"2012","Adventure"
"2012","Science Fiction"
"Up","Animation"
"Up","Comedy"
"Up","Family"
"Up","Adventure"
"Hugo","Adventure"
"Hugo","Drama"
"Hugo","Family"
"Waterworld","Adventure"
"Waterworld","Action"
"Maleficent","Fantasy"
"Maleficent","Adventure"
"Maleficent","Action"
"Maleficent","Family"
"Maleficent","Romance"
"Tomorrowland","Adventure"
"Tomorrowland","Family"
"Tomorrowland","Mystery"
"Tomorrowland","Science Fiction"
"Interstellar","Adventure"
"Interstellar","Drama"
"Interstellar","Science Fiction"
"Inception","Action"
"Inception","Thriller"
"Inception","Science Fiction"
"Inception","Mystery"
"Inception","Adventure"
"Poseidon","Adventure"
"Poseidon","Action"
"Poseidon","Drama"
"Poseidon","Thriller"
"Warcraft","Action"
"Warcraft","Adventure"
"Warcraft","Fantasy"
"Transformers","Adventure"
"Transformers","Science Fiction"
"Transformers","Action"
"Alexander","War"
"Alexander","History"
"Alexander","Action"
"Alexander","Adventure"
"Alexander","Drama"
"Alexander","Romance"
"Hancock","Fantasy"
"Hancock","Action"
"Ratatouille","Animation"
"Ratatouille","Comedy"
"Ratatouille","Family"
"Ratatouille","Fantasy"
"Frozen","Animation"
"Frozen","Adventure"
"Frozen","Family"
"Thor","Adventure"
"Thor","Fantasy"
"Thor","Action"
"Bolt","Animation"
"Bolt","Family"
"Bolt","Adventure"
"Bolt","Comedy"
"Pan","Adventure"
"Pan","Family"
"Pan","Fantasy"
"Troy","Adventure"
"Troy","Drama"
"Troy","War"
"Ghostbusters","Action"
"Ghostbusters","Fantasy"
"Ghostbusters","Comedy"
"Armageddon","Action"
"Armageddon","Thriller"
"Armageddon","Science Fiction"
"Armageddon","Adventure"
"Beowulf","Adventure"
"Beowulf","Action"
"Beowulf","Animation"
"Stealth","Action"
"Watchmen","Action"
"Watchmen","Mystery"
"Watchmen","Science Fiction"
"Hulk","Drama"
"Hulk","Action"
"Hulk","Science Fiction"
"Sahara","Action"
"Sahara","Adventure"
"Sahara","Comedy"
"Sahara","Drama"
"Sahara","Mystery"
"Turbo","Animation"
"Turbo","Family"
"Rango","Animation"
"Rango","Comedy"
"Rango","Family"
"Rango","Western"
"Rango","Adventure"
"Home","Fantasy"
"Home","Comedy"
"Home","Animation"
"Home","Science Fiction"
"Home","Family"
"Salt","Action"
"Salt","Mystery"
"Salt","Thriller"
"Noah","Drama"
"Noah","Adventure"
"Australia","Drama"
"Dinosaur","Animation"
"Dinosaur","Family"
"Megamind","Animation"
"Megamind","Action"
"Megamind","Comedy"
"Megamind","Family"
"Megamind","Science Fiction"
"X2","Adventure"
"X2","Action"
"X2","Science Fiction"
