user_id,title,grade
769,"Cheech & Chong's Nice Dreams",3
199,"Cheech & Chong's Nice Dreams",4
7,"Cheech & Chong's Nice Dreams",5
6,"Cheech & Chong's Nice Dreams",2
735,"Cheech & Chong's Nice Dreams",4
684,"The Best Man",4
134,"The Best Man",5
142,"The Winter Guest",2
769,"Colors",3
199,"Colors",4
7,"Colors",3
769,"Love Me If You Dare",3
527,"Love Me If You Dare",2
59,"Boat Trip",2
788,"Boat Trip",2
97,"Boat Trip",2
834,"Mighty Joe Young",5
383,"Mighty Joe Young",2
544,"Mighty Joe Young",1
79,"Mighty Joe Young",3
134,"Mighty Joe Young",5
231,"G.I. Jane",4
134,"G.I. Jane",5
785,"G.I. Jane",4
188,"G.I. Jane",3
769,"South Park: Season 2",5
383,"South Park: Season 2",4
981,"South Park: Season 2",5
614,"South Park: Season 2",5
424,"The Heart of Me",3
265,"Pacific Heights",4
906,"Pacific Heights",2
684,"Pacific Heights",4
664,"Before Night Falls",5
495,"Before Night Falls",5
478,"All About My Mother",5
195,"All About My Mother",4
664,"All About My Mother",5
544,"All About My Mother",5
485,"All About My Mother",2
769,"Days of Being Wild",5
769,"The Goonies",4
602,"The Goonies",4
302,"The Goonies",4
657,"The Goonies",5
383,"The Goonies",3
164,"The Goonies",3
169,"The Goonies",3
352,"The Goonies",3
116,"The Goonies",4
265,"The Goonies",4
79,"The Goonies",2
462,"The Goonies",3
94,"The Goonies",5
8,"The Goonies",5
7,"The Goonies",3
596,"The Goonies",4
481,"The Goonies",5
134,"The Goonies",5
742,"The Goonies",4
268,"The Goonies",5
6,"The Goonies",4
358,"The Goonies",5
536,"The Goonies",5
304,"The Goonies",5
576,"The Goonies",4
201,"It Was a Wonderful Life",5
199,"Batman Returns",4
750,"Batman Returns",3
7,"Batman Returns",4
578,"Batman Returns",5
481,"Batman Returns",3
134,"Batman Returns",4
6,"Batman Returns",4
785,"Batman Returns",1
304,"Batman Returns",4
195,"The Dead Zone: Season 1",4
769,"Sexy Beast",4
766,"Sexy Beast",2
906,"Sexy Beast",4
363,"Sexy Beast",5
301,"Rugrats: Decade in Diapers",4
735,"The Five Obstructions",5
195,"From Dusk Till Dawn",3
247,"From Dusk Till Dawn",5
561,"From Dusk Till Dawn",5
188,"From Dusk Till Dawn",3
192,"Twilight",3
815,"Spring Forward",2
7,"Iron Will",5
268,"Iron Will",5
424,"Iron Will",2
25,"Queer as Folk: Season 3",5
250,"Queer as Folk: Season 3",5
383,"SpongeBob SquarePants: Season 1",3
383,"Dennis the Menace",3
685,"Dennis the Menace",4
769,"For a Few Dollars More",4
199,"For a Few Dollars More",4
169,"For a Few Dollars More",3
477,"For a Few Dollars More",5
756,"For a Few Dollars More",1
6,"For a Few Dollars More",4
785,"For a Few Dollars More",5
304,"For a Few Dollars More",5
769,"Romance",4
979,"Romance",1
527,"Romance",1
769,"Pearl Harbor",2
384,"Pearl Harbor",5
215,"Pearl Harbor",3
979,"Pearl Harbor",1
623,"Pearl Harbor",2
870,"Pearl Harbor",5
834,"Pearl Harbor",4
744,"Pearl Harbor",4
248,"Pearl Harbor",2
195,"Pearl Harbor",2
199,"Pearl Harbor",3
602,"Pearl Harbor",4
392,"Pearl Harbor",5
692,"Pearl Harbor",3
302,"Pearl Harbor",2
633,"Pearl Harbor",4
231,"Pearl Harbor",5
177,"Pearl Harbor",1
989,"Pearl Harbor",5
440,"Pearl Harbor",4
470,"Pearl Harbor",3
383,"Pearl Harbor",4
844,"Pearl Harbor",2
695,"Pearl Harbor",4
609,"Pearl Harbor",5
42,"Pearl Harbor",4
719,"Pearl Harbor",5
97,"Pearl Harbor",4
352,"Pearl Harbor",2
485,"Pearl Harbor",4
767,"Pearl Harbor",2
116,"Pearl Harbor",3
944,"Pearl Harbor",3
265,"Pearl Harbor",4
79,"Pearl Harbor",4
547,"Pearl Harbor",5
857,"Pearl Harbor",4
201,"Pearl Harbor",4
462,"Pearl Harbor",3
784,"Pearl Harbor",5
301,"Pearl Harbor",4
920,"Pearl Harbor",2
8,"Pearl Harbor",4
7,"Pearl Harbor",3
250,"Pearl Harbor",2
711,"Pearl Harbor",3
829,"Pearl Harbor",2
825,"Pearl Harbor",3
333,"Pearl Harbor",1
266,"Pearl Harbor",4
466,"Pearl Harbor",3
578,"Pearl Harbor",5
312,"Pearl Harbor",4
283,"Pearl Harbor",5
981,"Pearl Harbor",1
527,"Pearl Harbor",4
439,"Pearl Harbor",4
10,"Pearl Harbor",5
561,"Pearl Harbor",2
189,"Pearl Harbor",4
614,"Pearl Harbor",3
6,"Pearl Harbor",5
616,"Pearl Harbor",4
785,"Pearl Harbor",3
291,"Pearl Harbor",4
358,"Pearl Harbor",2
536,"Pearl Harbor",5
424,"Pearl Harbor",3
815,"Pearl Harbor",5
873,"Pearl Harbor",3
663,"Pearl Harbor",4
188,"Pearl Harbor",3
529,"Pearl Harbor",5
769,"Higher Learning",2
793,"Higher Learning",4
735,"Higher Learning",4
769,"The Texas Chainsaw Massacre",4
199,"The Texas Chainsaw Massacre",4
684,"The Texas Chainsaw Massacre",3
769,"The Natural",4
199,"The Natural",4
602,"The Natural",5
314,"The Natural",4
470,"The Natural",5
164,"The Natural",3
169,"The Natural",4
116,"The Natural",5
79,"The Natural",4
906,"The Natural",3
7,"The Natural",5
981,"The Natural",3
561,"The Natural",2
785,"The Natural",5
188,"The Natural",3
508,"WWII: The Lost Color Archives",4
769,"The Elephant Man",5
97,"The Elephant Man",3
906,"The Elephant Man",4
596,"The Elephant Man",3
998,"The Elephant Man",5
305,"The Elephant Man",5
268,"The Elephant Man",5
815,"The Elephant Man",2
735,"The Elephant Man",4
609,"Everybody Loves Raymond: Season 2",5
134,"Substitute 2: School's Out",4
265,"Striptease",2
695,"The Deep End of the Ocean",3
481,"The Deep End of the Ocean",5
134,"The Deep End of the Ocean",5
998,"The Deep End of the Ocean",4
614,"The Deep End of the Ocean",4
296,"Les Miserables",4
6,"Les Miserables",3
785,"The Crow: City of Angels",3
142,"Bobby Jones",4
265,"Bobby Jones",3
968,"Bobby Jones",3
188,"Bobby Jones",3
383,"The Amanda Show",2
788,"P.S.",3
142,"P.S.",2
546,"Are We There Yet?",3
962,"Are We There Yet?",3
793,"Are We There Yet?",3
142,"Are We There Yet?",1
79,"Are We There Yet?",4
462,"Are We There Yet?",1
8,"Are We There Yet?",3
592,"Are We There Yet?",3
578,"Are We There Yet?",4
527,"Are We There Yet?",2
183,"Are We There Yet?",3
424,"Are We There Yet?",4
979,"Roswell: Season 1",4
769,"Platoon",3
195,"Platoon",5
199,"Platoon",5
383,"Platoon",3
695,"Platoon",4
544,"Platoon",4
485,"Platoon",3
265,"Platoon",4
477,"Platoon",4
906,"Platoon",4
462,"Platoon",5
756,"Platoon",5
684,"Platoon",5
7,"Platoon",5
481,"Platoon",4
998,"Platoon",1
614,"Platoon",3
6,"Platoon",5
785,"Platoon",5
304,"Platoon",5
188,"Platoon",4
756,"Friend",4
684,"Friend",4
578,"CB4",4
785,"CB4",3
769,"Get Carter",2
684,"Get Carter",4
906,"Cop Land",3
756,"Cop Land",3
785,"Cop Land",4
314,"Fiddler on the Roof",5
442,"Fiddler on the Roof",5
7,"Fiddler on the Roof",5
242,"Fiddler on the Roof",1
164,"Love & Basketball",5
79,"Love & Basketball",4
684,"Love & Basketball",4
283,"Love & Basketball",4
561,"Love & Basketball",5
979,"The Chronicles of Riddick",2
546,"The Chronicles of Riddick",1
840,"The Chronicles of Riddick",4
231,"The Chronicles of Riddick",4
383,"The Chronicles of Riddick",2
310,"The Chronicles of Riddick",4
247,"The Chronicles of Riddick",3
750,"The Chronicles of Riddick",3
766,"The Chronicles of Riddick",4
79,"The Chronicles of Riddick",1
477,"The Chronicles of Riddick",4
301,"The Chronicles of Riddick",4
585,"The Chronicles of Riddick",5
684,"The Chronicles of Riddick",5
592,"The Chronicles of Riddick",3
437,"The Chronicles of Riddick",3
596,"The Chronicles of Riddick",4
578,"The Chronicles of Riddick",4
481,"The Chronicles of Riddick",5
134,"The Chronicles of Riddick",3
527,"The Chronicles of Riddick",1
368,"The Chronicles of Riddick",5
183,"The Chronicles of Riddick",4
6,"The Chronicles of Riddick",4
785,"The Chronicles of Riddick",3
188,"The Chronicles of Riddick",3
688,"The Chronicles of Riddick",5
265,"Pocahontas II: Journey to a New World",5
485,"Thumbelina",2
462,"Kingdom of Heaven",4
437,"Kingdom of Heaven",3
578,"Kingdom of Heaven",3
134,"Kingdom of Heaven",5
490,"Kingdom of Heaven",5
6,"Kingdom of Heaven",3
785,"Kingdom of Heaven",4
424,"Kingdom of Heaven",3
981,"I'm Gonna Git You Sucka",3
561,"I'm Gonna Git You Sucka",5
495,"Ready to Wear",5
307,"I'll Sleep When I'm Dead",5
527,"I'll Sleep When I'm Dead",3
384,"The Butterfly Effect: Director's Cut",2
546,"The Butterfly Effect: Director's Cut",3
195,"The Butterfly Effect: Director's Cut",3
840,"The Butterfly Effect: Director's Cut",4
199,"The Butterfly Effect: Director's Cut",4
602,"The Butterfly Effect: Director's Cut",4
59,"The Butterfly Effect: Director's Cut",5
231,"The Butterfly Effect: Director's Cut",3
695,"The Butterfly Effect: Director's Cut",2
164,"The Butterfly Effect: Director's Cut",5
609,"The Butterfly Effect: Director's Cut",5
719,"The Butterfly Effect: Director's Cut",5
169,"The Butterfly Effect: Director's Cut",4
352,"The Butterfly Effect: Director's Cut",5
97,"The Butterfly Effect: Director's Cut",3
247,"The Butterfly Effect: Director's Cut",4
952,"The Butterfly Effect: Director's Cut",5
767,"The Butterfly Effect: Director's Cut",4
766,"The Butterfly Effect: Director's Cut",4
296,"The Butterfly Effect: Director's Cut",2
477,"The Butterfly Effect: Director's Cut",3
462,"The Butterfly Effect: Director's Cut",2
491,"The Butterfly Effect: Director's Cut",3
585,"The Butterfly Effect: Director's Cut",5
684,"The Butterfly Effect: Director's Cut",4
308,"The Butterfly Effect: Director's Cut",5
7,"The Butterfly Effect: Director's Cut",3
592,"The Butterfly Effect: Director's Cut",3
333,"The Butterfly Effect: Director's Cut",3
437,"The Butterfly Effect: Director's Cut",3
787,"The Butterfly Effect: Director's Cut",3
578,"The Butterfly Effect: Director's Cut",4
481,"The Butterfly Effect: Director's Cut",5
134,"The Butterfly Effect: Director's Cut",5
368,"The Butterfly Effect: Director's Cut",4
998,"The Butterfly Effect: Director's Cut",4
685,"The Butterfly Effect: Director's Cut",4
933,"The Butterfly Effect: Director's Cut",2
6,"The Butterfly Effect: Director's Cut",3
358,"The Butterfly Effect: Director's Cut",5
536,"The Butterfly Effect: Director's Cut",5
304,"The Butterfly Effect: Director's Cut",3
663,"The Butterfly Effect: Director's Cut",4
576,"The Butterfly Effect: Director's Cut",5
735,"The Butterfly Effect: Director's Cut",3
7,"The Man Who Shot Liberty Valance",3
739,"The Cuckoo",3
769,"Deliverance",3
657,"Deliverance",4
298,"Deliverance",4
695,"Deliverance",4
296,"Deliverance",1
265,"Deliverance",3
477,"Deliverance",3
756,"Deliverance",3
684,"Deliverance",5
7,"Deliverance",5
829,"Deliverance",5
439,"Deliverance",4
6,"Deliverance",3
358,"Deliverance",3
188,"Deliverance",3
330,"Deliverance",4
735,"Deliverance",4
495,"Persona",5
133,"Lewis Black: Black on Broadway",2
508,"Ken Burns' America: Brooklyn Bridge",3
424,"20",2
546,"Welcome to Mooseport",5
840,"Welcome to Mooseport",2
302,"Welcome to Mooseport",4
788,"Welcome to Mooseport",4
79,"Welcome to Mooseport",3
265,"Welcome to Mooseport",3
877,"Welcome to Mooseport",1
756,"Welcome to Mooseport",1
7,"Welcome to Mooseport",3
192,"Welcome to Mooseport",3
719,"Batteries Not Included",5
201,"Batteries Not Included",5
561,"Batteries Not Included",4
268,"Batteries Not Included",5
158,"Tales from the Crypt: Season 1",3
769,"Showgirls",1
301,"Showgirls",3
134,"Showgirls",5
471,"The Lost Films of Laurel & Hardy",3
684,"The Legend of Drunken Master",5
134,"The Legend of Drunken Master",5
785,"The Legend of Drunken Master",5
291,"The Legend of Drunken Master",4
939,"The Legend of Drunken Master",4
199,"Juwanna Mann",3
788,"Juwanna Mann",3
769,"12 Angry Men",5
478,"12 Angry Men",5
788,"12 Angry Men",5
298,"12 Angry Men",5
695,"12 Angry Men",4
477,"12 Angry Men",4
906,"12 Angry Men",5
462,"12 Angry Men",5
7,"12 Angry Men",5
981,"12 Angry Men",3
998,"12 Angry Men",3
305,"12 Angry Men",5
561,"12 Angry Men",4
6,"12 Angry Men",3
330,"12 Angry Men",5
834,"The Adventures of Milo and Otis",3
664,"Wit",5
933,"Wit",3
769,"The Decalogue",4
906,"Lantana",3
481,"The Adventures of Pluto Nash",2
756,"I.M. Pei",2
527,"And Now ... Ladies and Gentlemen",2
769,"Rocky III",4
195,"Rocky III",2
602,"Rocky III",4
609,"Rocky III",4
134,"Rocky III",5
188,"Rocky III",4
7,"Alanis Morissette: Live in the Navajo Nation",4
7,"Empires: Peter and Paul and the Christian Revolution",3
442,"Sands of Iwo Jima",4
6,"Sands of Iwo Jima",4
508,"Sands of Iwo Jima",3
298,"I",4
471,"I",3
602,"A Knight's Tale",3
302,"A Knight's Tale",4
298,"A Knight's Tale",1
383,"A Knight's Tale",4
695,"A Knight's Tale",2
97,"A Knight's Tale",3
79,"A Knight's Tale",5
477,"A Knight's Tale",3
250,"A Knight's Tale",5
481,"A Knight's Tale",5
283,"A Knight's Tale",3
