title,keyword
"Avatar","culture clash"
"Avatar","future"
"Avatar","space war"
"Avatar","space colony"
"Avatar","society"
"Avatar","space travel"
"Avatar","futuristic"
"Avatar","romance"
"Avatar","space"
"Avatar","alien"
"Avatar","tribe"
"Avatar","alien planet"
"Avatar","cgi"
"Avatar","marine"
"Avatar","soldier"
"Avatar","battle"
"Avatar","love affair"
"Avatar","anti war"
"Avatar","power relations"
"Avatar","mind and soul"
"Avatar","3d"
"Spectre","spy"
"Spectre","based on novel"
"Spectre","secret agent"
"Spectre","sequel"
"Spectre","mi6"
"Spectre","british secret service"
"Spectre","united kingdom"
"Tangled","hostage"
"Tangled","magic"
"Tangled","horse"
"Tangled","fairy tale"
"Tangled","musical"
"Tangled","princess"
"Tangled","animation"
"Tangled","tower"
"Tangled","blonde woman"
"Tangled","selfishness"
"Tangled","healing power"
"Tangled","based on fairy tale"
"Tangled","duringcreditsstinger"
"Tangled","healing gift"
"Tangled","animal sidekick"
"Titanic","shipwreck"
"Titanic","iceberg"
"Titanic","ship"
"Titanic","panic"
"Titanic","titanic"
"Titanic","ocean liner"
"Titanic","epic"
"Titanic","rich woman - poor man"
"Titanic","love"
"Titanic","disaster"
"Titanic","tragic love"
"Titanic","class differences"
"Titanic","imax"
"Titanic","star crossed lovers"
"Titanic","steerage"
"Titanic","salvage"
"Titanic","rich snob"
"Titanic","3d"
"Titanic","1910s"
"Battleship","fight"
"Battleship","u.s. navy"
"Battleship","mind reading"
"Battleship","hong kong"
"Battleship","soccer"
"Battleship","scientist"
"Battleship","fictional war"
"Battleship","naval"
"Battleship","armada"
"Battleship","battleship"
"Battleship","naval combat"
"Battleship","jds myoko"
"Battleship","lost communication"
"Battleship","taser"
"Battleship","buoy"
"Battleship","communications expert"
"Battleship","joint chiefs of staff"
"Battleship","crash landing"
"Battleship","jet fighter pilot"
"Battleship","navy lieutenant"
"Battleship","permission to marry"
"Battleship","uss john paul jones"
"Battleship","based on board game"
"Battleship","aftercreditsstinger"
"Battleship","mighty mo"
"Battleship","uss missouri"
"Skyfall","spy"
"Skyfall","secret agent"
"Skyfall","sociopath"
"Skyfall","killer"
"Skyfall","art gallery"
"Skyfall","british secret service"
"Skyfall","istanbul turkey"
"Skyfall","imax"
"Skyfall","uzi"
"Skyfall","booby trap"
"Skyfall","impersonating a police officer"
"Skyfall","macao"
"Brave","scotland"
"Brave","rebel"
"Brave","bravery"
"Brave","kingdom"
"Brave","archer"
"Brave","wish"
"Brave","bear"
"Brave","scot"
"Brave","rebellious daughter"
"Brave","turns into animal"
"Brave","archery"
"Brave","ruins"
"Brave","aftercreditsstinger"
"Brave","peace offering"
"Brave","woman director"
"Brave","courage"
"Brave","3d"
"2012","civilization"
"2012","natural disaster"
"2012","end of the world"
"2012","disaster"
"2012","apocalypse"
"2012","destruction"
"2012","volcanic eruption"
"2012","mayan"
"2012","ark"
"2012","solar"
"2012","destruction  of mankind"
"Up","age difference"
"Up","central and south america"
"Up","balloon"
"Up","animation"
"Up","floating in the air"
"Up","duringcreditsstinger"
"Up","exploring"
"Hugo","library"
"Hugo","clock"
"Hugo","film director"
"Hugo","key"
"Hugo","toy"
"Hugo","boy"
"Hugo","love"
"Hugo","orphan"
"Hugo","robot"
"Hugo","automaton"
"Hugo","hiding"
"Hugo","filmmaking"
"Hugo","leg brace"
"Hugo","doberman"
"Hugo","3d"
"Waterworld","ocean"
"Waterworld","tattoo"
"Waterworld","mutant"
"Waterworld","water"
"Waterworld","dystopia"
"Waterworld","doomsday"
"Maleficent","fairy tale"
"Maleficent","villain"
"Maleficent","sleeping beauty"
"Maleficent","dark fantasy"
"Maleficent","based on fairy tale"
"Maleficent","adaptation"
"Maleficent","retelling"
"Maleficent","literary adaptation"
"Maleficent","3d"
"Tomorrowland","inventor"
"Tomorrowland","apocalypse"
"Tomorrowland","destiny"
"Tomorrowland","imax"
"Tomorrowland","dreamer"
"Tomorrowland","futuristic car"
"Tomorrowland","futuristic city"
"Interstellar","saving the world"
"Interstellar","artificial intelligence"
"Interstellar","father son relationship"
"Interstellar","single parent"
"Interstellar","nasa"
"Interstellar","expedition"
"Interstellar","wormhole"
"Interstellar","space travel"
"Interstellar","famine"
"Interstellar","black hole"
"Interstellar","dystopia"
"Interstellar","race against time"
"Interstellar","quantum mechanics"
"Interstellar","spaceship"
"Interstellar","space"
"Interstellar","rescue"
"Interstellar","family relationships"
"Interstellar","farmhouse"
"Interstellar","robot"
"Interstellar","astronaut"
"Interstellar","scientist"
"Interstellar","father daughter relationship"
"Interstellar","single father"
"Interstellar","farmer"
"Interstellar","space station"
"Interstellar","imax"
"Interstellar","astrophysics"
"Interstellar","zero gravity"
"Interstellar","courage"
"Interstellar","time paradox"
"Interstellar","relativity"
"Inception","loss of lover"
"Inception","dream"
"Inception","kidnapping"
"Inception","sleep"
"Inception","subconsciousness"
"Inception","heist"
"Inception","redemption"
"Inception","female hero"
"Poseidon","new year's eve"
"Poseidon","fire"
"Poseidon","drowning"
"Poseidon","cataclysm"
"Poseidon","loss of father"
"Poseidon","atlantic ocean"
"Poseidon","ball"
"Poseidon","self-abandonment"
"Poseidon","shipwreck"
"Poseidon","giant wave"
"Poseidon","blackout"
"Poseidon","ship"
"Poseidon","daughter"
"Poseidon","single"
"Poseidon","escape"
"Poseidon","capsized ship"
