title,productor
"Avatar","Ingenious Film Partners"
"Avatar","Twentieth Century Fox Film Corporation"
"Avatar","Dune Entertainment"
"Avatar","Lightstorm Entertainment"
"Spectre","Columbia Pictures"
"Spectre","Danjaq"
"Spectre","B24"
"Tangled","Walt Disney Pictures"
"Tangled","Walt Disney Animation Studios"
"Titanic","Paramount Pictures"
"Titanic","Twentieth Century Fox Film Corporation"
"Titanic","Lightstorm Entertainment"
"Battleship","Universal Pictures"
"Battleship","Hasbro"
"Battleship","Bluegrass Films"
"Battleship","Film 44"
"Skyfall","Columbia Pictures"
"Brave","Walt Disney Pictures"
"Brave","Pixar Animation Studios"
"2012","Columbia Pictures"
"2012","Centropolis Entertainment"
"2012","The Mark Gordon Company"
"2012","Farewell Productions"
"Up","Pixar Animation Studios"
"Hugo","Paramount Pictures"
"Hugo","Infinitum Nihil"
"Hugo","GK Films"
"Waterworld","Universal Pictures"
"Waterworld","Gordon Company"
"Waterworld","Davis Entertainment"
"Waterworld","Licht/Mueller Film Corporation"
"Maleficent","Walt Disney Pictures"
"Maleficent","Walt Disney Studios Motion Pictures"
"Maleficent","Roth Films"
"Tomorrowland","Walt Disney Pictures"
"Tomorrowland","Babieka"
"Tomorrowland","A113"
"Interstellar","Paramount Pictures"
"Interstellar","Legendary Pictures"
"Interstellar","Warner Bros."
"Interstellar","Syncopy"
"Interstellar","Lynda Obst Productions"
"Inception","Legendary Pictures"
"Inception","Warner Bros."
"Inception","Syncopy"
"Poseidon","Virtual Studios"
"Poseidon","Next Entertainment"
"Poseidon","Warner Bros."
"Poseidon","Irwin Allen Productions"
"Poseidon","Radiant Productions"
"Poseidon","Synthesis Entertainment"
"Warcraft","Universal Pictures"
"Warcraft","Atlas Entertainment"
"Warcraft","Legendary Pictures"
"Warcraft","Blizzard Entertainment"
"Transformers","Paramount Pictures"
"Transformers","DreamWorks SKG"
"Transformers","Amblin Entertainment"
"Transformers","Di Bonaventura Pictures"
"Transformers","Platinum Dunes"
"Transformers","thinkfilm"
"Transformers","SprocketHeads"
"Transformers","Hasbro Studios"
"Transformers","Revolution Sun Studios"
"Alexander","France 3 Cinéma"
"Alexander","Intermedia Films"
"Alexander","Pathé Renn Productions"
"Alexander","Egmond Film & Television"
"Alexander","Warner Bros."
"Alexander","Pacifica Film"
"Alexander","IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
"Alexander","WR Universal Group"
"Hancock","Columbia Pictures"
"Hancock","Weed Road Pictures"
"Hancock","Forward Pass"
"Hancock","Relativity Media"
"Hancock","Overbrook Entertainment"
"Hancock","Blue Light"
"Hancock","GH Three"
"Ratatouille","Walt Disney Pictures"
"Ratatouille","Pixar Animation Studios"
"Frozen","Walt Disney Pictures"
"Frozen","Walt Disney Animation Studios"
"Thor","Marvel Studios"
"Bolt","Walt Disney Animation Studios"
"Pan","Warner Bros."
"Pan","Moving Picture Company (MPC)"
"Pan","Berlanti Productions"
"Pan","RatPac-Dune Entertainment"
"Troy","Plan B Entertainment"
"Troy","Warner Bros."
"Troy","Nimar Studios"
"Troy","Radiant Productions"
"Troy","Helena Productions"
"Troy","Latina Pictures"
"Ghostbusters","Columbia Pictures"
"Ghostbusters","Village Roadshow Pictures"
"Ghostbusters","Montecito Picture Company, The"
"Ghostbusters","LStar Capital"
"Ghostbusters","Feigco Entertainment"
"Ghostbusters","Pascal Pictures"
"Ghostbusters","Ghostcorps"
"Armageddon","Jerry Bruckheimer Films"
"Armageddon","Touchstone Pictures"
"Armageddon","Valhalla Motion Pictures"
"Beowulf","Paramount Pictures"
"Beowulf","Shangri-La Entertainment"
"Beowulf","ImageMovers"
"Beowulf","Paramount Animation"
"Stealth","Laura Ziskin Productions"
"Stealth","Original Film"
"Stealth","Columbia Pictures Corporation"
"Stealth","Phoenix Pictures"
"Stealth","AFG Talons Productions"
"Watchmen","Paramount Pictures"
"Watchmen","DC Comics"
"Watchmen","Lawrence Gordon Productions"
"Watchmen","Legendary Pictures"
"Watchmen","Warner Bros."
"Watchmen","Cruel and Unusual Films"
"Hulk","Universal Pictures"
"Hulk","Good Machine"
"Hulk","Valhalla Motion Pictures"
"Hulk","Marvel Enterprises"
"Sahara","Paramount Pictures"
"Sahara","Bristol Bay Productions"
"Sahara","Baldwin Entertainment Group"
"Sahara","Desertlands Entertainment"
"Sahara","Mace Neufeld Productions"
"Sahara","Kanzaman"
"Sahara","J.K. Livin Productions"
"Sahara","Moguletta"
"Sahara","Sahara Productions"
"Sahara","Babelsberg Film"
"Turbo","DreamWorks Animation"
"Rango","Paramount Pictures"
"Rango","Nickelodeon Movies"
"Rango","GK Films"
"Rango","Blind Wink"
"Rango","Paramount Animation"
"Home","Twentieth Century Fox Film Corporation"
"Home","DreamWorks Animation"
"Salt","Columbia Pictures"
"Salt","Di Bonaventura Pictures"
"Salt","Relativity Media"
"Salt","Wintergreen Productions"
"Noah","Paramount Pictures"
"Noah","Regency Enterprises"
"Noah","Protozoa Pictures"
"Noah","Disruption Entertainment"
"Australia","Bazmark Films"
"Australia","Ingenious Film Partners"
"Australia","Twentieth Century Fox Film Corporation"
"Australia","Dune Entertainment III"
"Australia","ScreenWest"
"Dinosaur","Walt Disney Pictures"
"Dinosaur","Walt Disney Feature Animation"
"Megamind","DreamWorks Animation"
"X2","Twentieth Century Fox Film Corporation"
"X2","Donners' Company"
"X2","Bad Hat Harry Productions"
"X2","Marvel Enterprises"
"X2","XM2 Productions"
"X2","XF2 Canada Productions"
"Prometheus","Twentieth Century Fox Film Corporation"
"Prometheus","Dune Entertainment"
"Prometheus","Scott Free Productions"
"Prometheus","Brandywine Productions"
"Elysium","TriStar Pictures"
"Elysium","Media Rights Capital"
"Elysium","Sony Pictures Entertainment (SPE)"
"Elysium","QED International"
"Elysium","Alpha Core"
"Elysium","Genre Films"
"Elysium","Simon Kinberg Productions"
"RoboCop","Columbia Pictures"
"RoboCop","Strike Entertainment"
"RoboCop","Metro-Goldwyn-Mayer (MGM)"
"Oblivion","Universal Pictures"
"Oblivion","Chernin Entertainment"
"Oblivion","Relativity Media"
"Oblivion","Monolith Pictures (III)"
"Oblivion","Radical Studios"
"Windtalkers","Lion Rock Productions"
"Windtalkers","Metro-Goldwyn-Mayer (MGM)"
"Gravity","Warner Bros."
"Gravity","Heyday Films"
"Gravity","Esperanto Filmoj"
"Insurgent","Summit Entertainment"
"Insurgent","Mandeville Films"
"Insurgent","Red Wagon Entertainment"
"Insurgent","NeoReel"
"Allegiant","Summit Entertainment"
"Allegiant","Lionsgate"
"Allegiant","Mandeville Films"
"Allegiant","Red Wagon Entertainment"
"Ali","Columbia Pictures Corporation"
"Gladiator","DreamWorks SKG"
"Gladiator","Universal Pictures"
"Gladiator","Scott Free Productions"
"Gladiator","Red Wagon Entertainment"
"Gladiator","Mill Film"
"Gladiator","C & L"
"Gladiator","Dawliz"
